Mesh_UI	Mesh_eng	Mesh_swe
D015651	Mycotoxicosis	Mykotoxikos
D015652	25-Hydroxyvitamin D 2	25-hydroxivitamin D 2
D015653	Cystectomy	Cystektomi
D015654	Herpesvirus 6, Human	Herpesvirus 6, humant
D015655	1-Methyl-4-phenylpyridinium	1-metyl-4-fenylpyridinium
D015656	Respiratory Mechanics	Andningsmekanik
D015657	Respiratory Transport	Respiratorisk transport
D015658	HIV Infections	HIV-infektioner
D015660	7-Alkoxycoumarin O-Dealkylase	7-alkoxykumarin 0-dealkylas
D015661	Pasteurellaceae	Pasteurellaceae
D015662	Trimethoprim-Sulfamethoxazole Combination	Trimetoprim-sulfametoxazolkombination
D015663	Osteoporosis, Postmenopausal	Benskörhet efter menopaus
D015667	Acupuncture Analgesia	Smärtlindring med akupunktur
D015669	Acupuncture Points	Akupunkter
D015670	Acupuncture Therapy	Akupunkturbehandling
D015671	Electroacupuncture	Elektroakupunktur
D015672	Erythroid Progenitor Cells	Erytroida stamceller
D015673	Fatigue Syndrome, Chronic	Trötthetssyndrom, kroniskt
D015674	Mammary Neoplasms, Animal	Brösttumörer hos djur
D015675	Osteocalcin	Osteokalcin
D015676	Osteonectin	Osteonektin
D015678	Viral Structural Proteins	Virala strukturella proteiner
D015681	Fusion Proteins, gag-onc	Fusionsproteiner, gag-onc
D015682	Retroviridae Proteins, Oncogenic	Retroviridaeproteiner, onkogena
D015683	Gene Products, gag	Genprodukter, gag
D015684	Gene Products, pol	Genprodukter, pol
D015685	Fusion Proteins, gag-pol	Fusionsproteiner, gag-pol
D015686	Gene Products, env	Genprodukter, env
D015687	Cell Hypoxia	Cellhypoxi
D015688	Oncogene Protein pp60(v-src)	Onkogenprotein pp60(v-src)
D015689	Oncogene Protein p21(ras)	Onkogenprotein p21(ras)
D015693	Gene Products, nef	Genprodukter, nef
D015694	Gene Products, rev	Genprodukter, rev
D015696	Gene Products, tat	Genprodukter, tat
D015698	Genomic Library	Genombibliotek
D015699	HIV Envelope Protein gp120	HIV-höljeprotein gp120
D015700	HIV Envelope Protein gp41	HIV-höljeprotein gp41
D015701	Near Drowning	Nära-drunkning
D015703	Antigens, CD	CD-antigener
D015704	Antigens, CD4	CD4-antigener
D015706	Bibliometrics	Bibliometri
D015707	HN Protein	HN-protein
D015709	Correspondence	Korrespondens
D015713	Duplicate Publication	Dubbelpublicering
D015714	Plagiarism	Plagiering
D015715	Corneal Edema	Hornhinneödem
D015716	Electrocardiography, Ambulatory	Långtids-EKG
D015717	Peptide T	Peptid T
D015718	Fibrin Tissue Adhesive	Fibrinplåster
D015719	Aspergillus Nuclease S1	Aspergillusnukleas S1
D015720	5'-Nucleotidase	5`-nukleotidas
D015721	Diphtheria-Tetanus-Pertussis Vaccine	Trippelvaccin
D015723	Gene Library	Genbibliotek
D015725	Fluconazole	Flukonazol
D015726	Giant Cells	Jätteceller
D015728	Receptors, HIV	HIV-receptorer
D015730	Djibouti	Djibouti
D015735	Mifepristone	Mifepriston
D015736	Felodipine	Felodipin
D015737	Nisoldipine	Nisoldipin
D015738	Famotidine	Famotidin
D015739	Nocodazole	Nokodazol
D015740	Calcitonin Gene-Related Peptide	Kalcitoningenrelaterad peptid
D015741	Metribolone	Metribolon
D015742	Propofol	Propofol
D015743	Giant Cells, Foreign-Body	Jätteceller, främmande kropp
D015744	Giant Cells, Langhans	Jätteceller, Langhans
D015745	Granuloma, Foreign-Body	Främmandekroppsgranulom
D015746	Abdominal Pain	Buksmärta
D015748	Borrelia burgdorferi Group	Borrelia burgdorferi-gruppen
D015750	Genes, gag	gag-gener
D015751	Genes, pol	pol-gener
D015752	Genes, env	env-gener
D015754	Genes, nef	nef-gener
D015756	Genes, tat	tat-gener
D015757	Genes, rev	rev-gener
D015759	Ionomycin	Jonomycin
D015760	Alfentanil	Alfentanil
D015761	4-Aminopyridine	4-aminopyridin
D015762	2-Chloroadenosine	2-kloradenosin
D015763	2-Amino-5-phosphonovalerate	2-amino-5-fosfonovalerat
D015764	Bepridil	Bepridil
D015765	Almitrine	Almitrin
D015766	Albendazole	Albendazol
D015767	Mefloquine	Meflokin
D015769	Granuloma, Respiratory Tract	Luftvägsgranulom
D015772	4,5-Dihydro-1-(3-(trifluoromethyl)phenyl)-1H-pyrazol-3-amine	BW-755C
D015773	Enalaprilat	Enalaprilat
D015774	Ganciclovir	Ganciklovir
D015775	Fractures, Stress	Utmattningsfrakturer
D015776	Keratoderma, Palmoplantar, Diffuse	Keratoderma, palmoplantar, diffus
D015777	Eicosanoids	Eikosanoider
D015778	Minor Histocompatibility Antigens	
D015780	Carbapenems	Karbapenemer
D015782	Neuroleukin	Neuroleukin
D015783	Aniridia	Aniridi
D015784	Betaxolol	Betaxolol
D015785	Eye Diseases, Hereditary	Ögonsjukdomar, ärftliga
D015786	Cytochromes b5	Cytokromer b5
D015787	Erythema Chronicum Migrans	Erythema chronicum migrans
D015788	HLA-A1 Antigen	HLA-A1-antigen
D015789	HLA-A2 Antigen	HLA-A2-antigen
D015790	Cefonicid	Cefonicid
D015791	HLA-A3 Antigen	HLA-A3-antigen
D015792	Retinal Dysplasia	Näthinnedysplasi
D015793	HLA-B7 Antigen	HLA-B7-antigen
D015794	Choroideremia	Koroideremi
D015795	HLA-B8 Antigen	HLA-B8-antigen
D015796	HLA-B27 Antigen	HLA-B27-antigen
D015797	HLA-B35 Antigen	HLA-B35-antigen
D015798	HLA-DR1 Antigen	HLA-DR1-antigen
D015799	Gyrate Atrophy	Gyratrofi
D015800	Protozoan Proteins	Protozoproteiner
D015801	Helminth Proteins	Maskproteiner
D015802	HLA-DR2 Antigen	HLA-DR2-antigen
D015803	HLA-DR3 Antigen	HLA-DR3-antigen
D015804	HLA-DR4 Antigen	HLA-DR4-antigen
D015805	HLA-DR5 Antigen	HLA-DR5-antigen
D015806	Azospirillum brasilense	Azospirillum brasilense
D015807	Eye Injuries, Penetrating	Ögonskador, penetrerande
D015808	HLA-DR6 Antigen	HLA-DR6-antigen
D015809	HLA-DR7 Antigen	HLA-DR7-antigen
D015810	Linkage Disequilibrium	Kopplingsojämnvikt
D015811	Iris Neoplasms	Iristumörer
D015812	Glaucoma, Angle-Closure	Trångvinkelglaukom
D015813	Substance Abuse Detection	Drogtestning
D015814	Ocular Hypotension	Lågt ögontryck
D015815	Cell Adhesion Molecules	Celladhesionsmolekyler
D015816	Cell Adhesion Molecules, Neuronal	Celladhesionsmolekyler, neuronala
D015817	Eye Infections	Ögoninfektioner
D015818	Eye Infections, Bacterial	Ögoninfektioner, bakteriella
D015819	Substance Abuse, Intravenous	Drogmissbruk, intravenöst
D015820	Cadherins	Kadheriner
D015821	Eye Infections, Fungal	Ögoninfektioner, svamp
D015822	Eye Infections, Parasitic	Ögoninfektioner, parasitära
D015823	Acanthamoeba Keratitis	Acanthamoebakeratit
D015824	Blood-Air Barrier	Blod-luftbarriär
D015825	Chromosomes, Fungal	Svampkromosomer
D015826	Langer-Giedion Syndrome	Langer-Giedions syndrom
D015827	Onchocerciasis, Ocular	Onchocerciasis, okulär
D015828	Eye Infections, Viral	Ögoninfektioner, virala
D015829	Uveitis, Suppurative	Uveit, varbildande
D015831	Osteochondroma	Osteokondrom
D015834	Cochlear Diseases	Kokleasjukdomar
D015835	Ocular Motility Disorders	Okulära motilitetsrubbningar
D015837	Vestibular Diseases	Vestibulära sjukdomar
D015838	Chondromatosis, Synovial	Synovialkondromatos
D015840	Oculomotor Nerve Diseases	Ögonmuskelsjukdomar
D015841	Enophthalmos	Enoftalmus
D015842	Serine Proteinase Inhibitors	Serinproteinashämmare
D015843	Serpins	Serpiner
D015844	Heparin Cofactor II	Heparinkofaktor II
D015845	Tonic Pupil	Tonisk pupill
D015846	Monokines	Monokiner
D015847	Interleukin-4	Interleukin-4
D015848	Interleukin-5	Interleukin-5
D015849	Plasminogen Inactivators	Plasminogeninaktivatorer
D015850	Interleukin-6	Interleukin-6
D015851	Interleukin-7	Interleukin-7
D015852	Eukaryotic Initiation Factor-2	eIF-2
D015853	Cysteine Proteinase Inhibitors	Cysteinproteinashämmare
D015854	Up-Regulation	Uppreglering
D015858	Anisometropia	Anisometropi
D015861	Retinal Neovascularization	Kärlnybildning i näthinnan
D015862	Choroid Diseases	Åderhinnesjukdomar
D015863	Iridocyclitis	Iridocyklit
D015864	Panuveitis	Panuveit
D015865	Racquet Sports	Racketsporter
D015866	Uveitis, Posterior	Uveit, bakre
D015867	Uveitis, Intermediate	Uveit, mellanliggande
D015868	Pars Planitis	Pars planitis
D015870	Gene Expression	Genuttryck
D015871	Scientific Misconduct	Forskningsfusk
D015873	Northwest Territories	Northwest Territories
D015874	Yukon Territory	Yukon
D015875	Anisocoria	Anisokori
D015876	Northern Territory	Northern Territory
D015877	Miosis	Pupillsammandragning
D015878	Mydriasis	Pupillutvidgning
D015879	Myosin Subfragments	Myosin subfragment
D015882	Retinal Necrosis Syndrome, Acute	Retinal nekros, akut
D015891	Cystatins	Cystatiner
D015894	Genome, Human	Genom, humant
D015895	Relative Value Scales	Relativt värde skalor
D015897	Comorbidity	Komorbiditet
D015898	Tomography Scanners, X-Ray Computed	CAT scanners
D015899	Tomography, Emission-Computed, Single-Photon	Singelfotonemissionstomografi
D015900	Radiography, Dual-Energy Scanned Projection	
D015901	Angiography, Digital Subtraction	Digital subtraktionsangiografi
D015902	Gamma Cameras	Gammakameror
D015903	Moire Topography	Moire topografi
D015904	Biliopancreatic Diversion	Biliopankreasavledning
D015905	Gastric Balloon	Intragastrisk ballong
D015906	Angioplasty, Transluminal, Percutaneous Coronary	Ballongvidgning av kranskärl
D015907	Hysteroscopy	Hysteroskopi
D015908	Counterpulsation	Mottryck
D015911	Sclerotherapy	Skleroterapi
D015912	Thrombolytic Therapy	Trombolysbehandling
D015913	Chelation Therapy	Kelatterapi
D015914	Estrogen Replacement Therapy	Östrogenersättningsbehandling
D015915	Motion Therapy, Continuous Passive	Rörelseträning, kontinuerlig passiv
D015916	Drainage, Postural	Lägesdränage
D015917	Penile Prosthesis	Penisprotes
D015918	Infusion Pumps, Implantable	Infusionspumpar, implanterbara
D015919	Ventilators, Negative-Pressure	Respiratorer, negativt tryck
D015920	Gas Scavengers	Gasreningsutrustning
D015921	Dental Implants	Dentala implantat
D015922	Complement C1q	Komplement 1q
D015923	Complement C1r	Komplement 1r
D015924	Blood Pressure Monitors	Blodtrycksmonitorer
D015925	Cryopreservation	Frysförvaring
D015926	Complement C3a	Komplement 3a
D015927	Skin Test End-Point Titration	
D015928	Cognitive Therapy	Kognitiv terapi
D015930	Diet Records	Kostregistrering
D015931	Intensive Care, Neonatal	Intensivvård av nyfödda
D015932	Complement C3c	Komplement 3c
D015933	Complement C3d	Komplement 3d
D015934	Complement C4a	Komplement 4a
D015935	Complement C4b	Komplement 4b
D015936	Complement C5a	Komplement 5a
D015937	Complement C5a, des-Arginine	Komplement 5a, des-arginin
D015938	Complement Membrane Attack Complex	Membranattackkomplex
D015939	Kitasamycin	Kitasamycin
D015941	Complement Hemolytic Activity Assay	Komplementanalys
D015942	Factor VIIa	Faktor VIIa
D015943	Factor Va	Faktor Va
D015944	Factor VIIIa	Faktor VIIIa
D015945	Factor XIa	Faktor XIa
D015946	Ethylene Dibromide	Etylendibromid
D015948	Keratoplasty, Penetrating	Keratoplastik, penetrerande
D015949	Factor IXa	Faktor IXa
D015951	Factor Xa	Faktor Xa
D015956	Factor XIIa	Faktor XIIa
D015964	Gene Expression Regulation, Bacterial	Reglering av genuttryck, bakterier
D015966	Gene Expression Regulation, Fungal	Reglering av genuttryck, svampar
D015967	Gene Expression Regulation, Viral	Reglering av genuttryck, virus
D015969	Institute of Medicine (U.S.)	Institute of Medicine (USA)
D015971	Gene Expression Regulation, Enzymologic	Reglering av genuttryck, enzymer
D015972	Gene Expression Regulation, Neoplastic	Reglering av genuttryck, tumörer
D015973	Gene Expression Regulation, Leukemic	Reglering av genuttryck, leukemi
D015974	Wrongful Life	Förfelat liv
D015975	Consensus Development Conferences, NIH	Konsensuskonferenser, NIH
D015977	Eukaryotic Initiation Factor-1	eIF-1
D015978	Trichosanthin	
D015979	Killer Cells, Lymphokine-Activated	Mördarceller, lymfokinaktiverade
D015980	Public Health Practice	Folkhälsovård
D015981	Epidemiologic Factors	Epidemiologiska faktorer
D015982	Bias (Epidemiology)	Bias (Epidemiologi)
D015983	Selection Bias	Urvalsskevhet
D015984	Causality	Orsakssammanhang
D015985	Precipitating Factors	Framkallande faktorer
D015986	Confounding Factors (Epidemiology)	Förväxlingsfaktorer (Epidemiologi)
D015987	Effect Modifiers (Epidemiology)	Effektmodifierare (Epidemiologi)
D015988	Cohort Effect	Kohorteffekt
D015989	Healthy Worker Effect	Arbetets effekt på hälsotal
D015990	Placebo Effect	Placeboeffekt
D015991	Epidemiologic Measurements	Epidemiologiska mätningar
D015992	Body Mass Index	Kroppsmasseindex
D015993	Life Tables	Dödlighetstabeller
D015994	Incidence	Incidens
D015995	Prevalence	Prevalens
D015996	Survival Rate	Överlevnadsfrekvens
D015997	Neonatal Screening	Hälsoundersökning av nyfödda
D015998	Abbreviated Injury Scale	Skadeskala, förkortad
D015999	Multivariate Analysis	Multivariantanalys
D016000	Cluster Analysis	Klusteranalys
D016001	Confidence Intervals	Konfidensintervall
D016002	Discriminant Analysis	Diskriminantanalys
D016008	Statistical Distributions	Statistiska fördelningar
D016009	Chi-Square Distribution	Chi-tvåfördelning
D016010	Binomial Distribution	Binomialfördelning
D016011	Normal Distribution	Normalfördelning
D016012	Poisson Distribution	Poissonregression
D016013	Likelihood Functions	Sannolikhetsfunktioner
D016014	Linear Models	Lineära modeller
D016015	Logistic Models	Logistiska modeller
D016016	Proportional Hazards Models	Proportional hazard-modeller
D016017	Odds Ratio	Oddskvot
D016018	Least-Squares Analysis	Minstakvadratmetoden
D016019	Survival Analysis	Överlevnadsanalys
D016020	Epidemiologic Study Characteristics	Epidemiologiska studiers särdrag
D016021	Epidemiologic Studies	Epidemiologiska studier
D016022	Case-Control Studies	Fall-kontrollstudier
D016023	Integrins	Integriner
D016024	Receptors, Cytoadhesin	Cytoadhesinreceptorer
D016025	Bone Transplantation	Bentransplantation
D016026	Bone Marrow Transplantation	Benmärgstransplantation
D016027	Heart Transplantation	Hjärttransplantation
D016028	Receptors, Leukocyte-Adhesion	Receptorer, leukocytadhesion
D016029	Receptors, Very Late Antigen	VLA-receptorer
D016030	Kidney Transplantation	Njurtransplantation
D016031	Liver Transplantation	Levertransplantation
D016032	Randomized Controlled Trials	Randomiserade kliniska prövningar
D016033	Intervention Studies	Interventionsstudier
D016035	Pancreas Transplantation	Bukspottkörteltransplantation
D016036	Seroepidemiologic Studies	Seroepidemiologiska studier
D016037	Single-Blind Method	Singelblindmetod
D016038	Skin Transplantation	Hudtransplantation
D016039	Corneal Transplantation	Hornhinnetransplantation
D016040	Lung Transplantation	Lungtransplantation
D016041	Heart-Lung Transplantation	Hjärt-lungtransplantation
D016042	Transplantation, Heterotopic	Transplantation, heterotopisk
D016044	Fusion Proteins, bcr-abl	Fusionsproteiner, bcr-abl
D016045	Human Genome Project	HUGO-projektet
D016047	Zalcitabine	Zalcitabin
D016048	Dideoxyadenosine	Dideoxiadenosin
D016049	Didanosine	Didanosin
D016052	Protozoan Vaccines	Protozovacciner
D016053	RNA, Protozoan	RNA, protozoiskt
D016054	DNA, Protozoan	Protozo-DNA
D016055	Urinary Retention	Urinstämma
D016056	Immunodominant Epitopes	Immundominanta epitoper
D016057	Evoked Potentials, Auditory, Brain Stem	Elektriska retningspotentialer, auditiva, hjärnstam
D016058	Analgesia, Patient-Controlled	Smärtlindring, patientstyrd
D016059	Range of Motion, Articular	Rörelseomfång i led
D016060	Sorption Detoxification	Sorption-avgiftning
D016061	Enterosorption	Enterosorption
D016062	Porosity	Porositet
D016063	Blood Loss, Surgical	Blodförlust vid operation
D016064	Vaginal Birth after Cesarean	Vaginal förlossning efter kejsarsnitt
D016065	Myoelectric Complex, Migrating	Myoelektriskt komplex, migrerande
D016066	Pleural Effusion, Malignant	Vätskeutgjutning i lungsäcken, malign
D016067	Nerve Transfer	Nervöverföring
D016079	Refusal to Treat	Vägran att behandla
D016080	Arachnoid Cysts	Araknoidalcystor
D016081	Moon	Måne
D016082	Solar System	Solsystemet
D016083	Planets	Planeter
D016084	Bronchoconstriction	Bronksammandragning
D016085	Bronchoconstrictor Agents	Bronksammandragande medel
D016086	Lentivirus	Lentivirus
D016087	Immunodeficiency Virus, Bovine	Immunbristvirus, bovint
D016088	Arthritis-Encephalitis Virus, Caprine	Getartrit-encefalitvirus
D016089	Immunodeficiency Virus, Feline	Immunbristvirus, katt
D016092	Spumavirus	Spumavirus
D016093	Mason-Pfizer monkey virus	Mason-Pfizer-apvirus
D016097	Simian Acquired Immunodeficiency Syndrome	Saids
D016098	Gerstmann-Straussler-Scheinker Disease	Gerstmann-Straussler-Scheinkers sjukdom
D016099	Endoscopy, Gastrointestinal	Endoskopi, mag-tarm
D016103	Spinal Fractures	Ryggradsfrakturer
D016104	Oligohydramnios	Oligohydramnios
D016105	Parathyroidectomy	Paratyreoidektomi
D016106	Methicillin Resistance	Meticillinresistens
D016107	Epidermolysis Bullosa Acquisita	Epidermolysis bullosa acquisita
D016108	Epidermolysis Bullosa Dystrophica	Epidermolysis bullosa dystrophica
D016109	Epidermolysis Bullosa, Junctional	Epidermolysis bullosa lethalis
D016110	Epidermolysis Bullosa Simplex	Epidermolysis bullosa simplex
D016111	Sjogren-Larsson Syndrome	Sjögren-Larssons syndrom
D016112	Ichthyosis Vulgaris	Fiskfjällssjuka
D016113	Ichthyosiform Erythroderma, Congenital	Iktyosiform erytrodermi, medfödd
D016114	Ichthyosis, X-Linked	Iktyos, X-bunden
D016115	Albinism, Oculocutaneous	Albinism, okulokutan
D016116	Piebaldism	Piebaldism
D016117	Albinism, Ocular	Albinism, okulär
D016118	Anterior Cruciate Ligament	Främre korsband
D016119	Posterior Cruciate Ligament	Korsband, bakre
D016121	Brachiocephalic Veins	Arm-huvudvener
D016122	Brachiocephalic Trunk	Arm-huvudartär
D016123	Campylobacter jejuni	Campylobacter jejuni
D016124	Eikenella corrodens	Eikenella corrodens
D016127	Heart Valve Prolapse	Hjärtklaffprolaps
D016130	Immunophenotyping	Immunfenotypbestämning
D016131	Lymphocyte Subsets	Lymfocytsubset
D016133	Polymerase Chain Reaction	Polymeraskedjereaktion
D016134	Organizational Policy	Organisationspolitik
D016135	Spinal Dysraphism	Spinal dysrrafi
D016136	Spina Bifida Occulta	Spina bifida occulta
D016137	Spina Bifida Cystica	Spina bifida cystica
D016138	Walking	Gående
D016139	Martial Arts	Stridskonster
D016142	Holoprosencephaly	Holoprosencefali
D016145	Endoscopy, Digestive System	Endoskopi, matsmältningssystem
D016147	Genes, Tumor Suppressor	Tumörsuppressorgener
D016153	Genes, Suppressor	Suppressorgener
D016154	Digestive System Fistula	Fistel i matsmältningssystemet
D016155	Oral Fistula	Munfistel
D016156	Respiratory Tract Fistula	Luftvägsfistel
D016157	Vascular Fistula	Kärlfistel
D016158	Genes, p53	p53-gener
D016159	Tumor Suppressor Protein p53	Tumörsuppressorprotein p53
D016160	Retinoblastoma Protein	Retinoblastomprotein
D016161	Genes, Retinoblastoma	Retinoblastomgener
D016162	Genes, Wilms Tumor	Wilms tumör-gener
D016163	Genes, DCC	DCC-gener
D016164	Bison	Bison
D016166	Free Radical Scavengers	Renhållare, fria radikaler
D016167	Integrin alphaXbeta2	AlfaXbeta2-integrin
D016169	Lymphocyte Function-Associated Antigen-1	
D016170	Accelerated Idioventricular Rhythm	Tilltagande idioventrikulär rytm
D016171	Torsades de Pointes	Torsades de pointes
D016172	DNA Fingerprinting	DNA-fingeravtryck
D016173	Macrophage Colony-Stimulating Factor	Makrofagkolonistimulerande faktor
D016174	Hepacivirus	Hepacivirus
D016175	B-Lymphocyte Subsets	B-lymfocytsubset
D016176	T-Lymphocyte Subsets	T-lymfocytsubset
D016177	Macrophage-1 Antigen	Makrofag-1-antigen
D016178	Granulocyte-Macrophage Colony-Stimulating Factor	Granulocyt-makrofagkolonistimulerande faktor
D016179	Granulocyte Colony-Stimulating Factor	Granulocytkolonistimulerande faktor
D016180	Lentivirus Infections	Lentivirusinfektioner
D016181	Feline Acquired Immunodeficiency Syndrome	AIDS hos katter
D016182	Visna	Visna
D016183	Murine Acquired Immunodeficiency Syndrome	AIDS hos möss
D016184	Receptors, Colony-Stimulating Factor	Receptorer, kolonistimulerande faktor
D016185	Receptors, Interleukin-3	Interleukin-3-receptorer
D016186	Receptor, Macrophage Colony-Stimulating Factor	Receptor, makrofagkolonistimulerande faktor
D016187	Receptors, Granulocyte-Macrophage Colony-Stimulating Factor	Receptorer, granulocyt-makrofagkolonistimulerande faktor
D016188	Receptors, Granulocyte Colony-Stimulating Factor	Receptorer, granulocytkolonistimulerande faktor
D016189	Dystrophin	Dystrofin
D016190	Carboplatin	Karboplatin
D016191	(R)-2,3,4,5-Tetrahydro-8-chloro-3-methyl-5-phenyl-1H-3-benzazepin-7-ol	Sch-23390
D016192	G0 Phase	G0-fas
D016193	G1 Phase	G1-fas
D016194	Receptors, N-Methyl-D-Aspartate	NMDA-receptorer
D016195	G2 Phase	G2-fas
D016196	S Phase	S-fas
D016199	Herpesvirus 7, Human	Herpesvirus 7, humant
D016200	Maturation-Promoting Factor	
D016201	Receptors, Lymphocyte Homing	
D016202	N-Methylaspartate	N-metylaspartat
D016203	CDC2 Protein Kinase	CDC2-proteinkinas
D016205	Sigmodontinae	Sigmodontinae
D016206	Databases, Bibliographic	Databaser, bibliografiska
D016207	Cytokines	Cytokiner
D016208	Databases, Factual	Faktadatabaser
D016209	Interleukin-8	Interleukin-8
D016210	Methacholine Chloride	Metakolinklorid
D016211	Transforming Growth Factor alpha	Transforming growth factor alpha
D016212	Transforming Growth Factor beta	Transforming growth factor beta
D016213	Cyclins	Cykliner
D016215	Macrophage-Activating Factors	Makrofagaktiveringsfaktorer
D016216	Ultrasonography, Prenatal	Ultraljudsundersökning av foster
D016217	Ultrasonography, Mammary	Ultraljudsmammografi
D016219	Immunotherapy, Adoptive	Immunterapi, adoptiv
D016220	Fibroblast Growth Factor 1	Fibroblasttillväxtfaktor 1
D016221	Festschrift [Publication Type]	Festskrift [publikationstyp]
D016222	Fibroblast Growth Factor 2	Fibroblasttillväxtfaktor 2
D016223	Advance Directives	Patientfullmakt
D016224	Living Wills	Livstestamenten
D016226	Phosphorus, Dietary	Fosfor i kosten
D016227	Benzoquinones	Bensokinoner
D016228	Endothelial Growth Factors	Endotelcellstillväxtfaktorer
D016229	Amyloid beta-Protein	Amyloid beta-protein
D016231	Fluorescence Polarization Immunoassay	Immunokemisk fluorescenspolarisation
D016232	Endothelins	Endoteliner
D016233	Immunotherapy, Active	Immunterapi, aktiv
D016234	Kallikrein-Kinin System	Kallikrein-kininsystem
D016235	American Speech-Language-Hearing Association	American Speech-Language-Hearing Association
D016236	Genes, fms	fms-gener
D016238	Cytapheresis	Cytaferes
D016239	MEDLINE	MEDLINE
D016240	Grateful Med	Grateful Med
D016241	Child of Impaired Parents	Barn till funktionshindrade föräldrar
D016242	Library Automation	Biblioteksautomatisering
D016243	Library Collection Development	Bibliotekssamlingar, utveckling
D016244	Guanosine 5'-O-(3-Thiotriphosphate)	Guanosin 5'-O-(3-tiotrifosfat)
D016245	Librarians	Bibliotekarier
D016246	Lymphocytes, Tumor-Infiltrating	Lymfocyter,  tumörinfiltrerande
D016247	Information Storage and Retrieval	Informationslagring och -återvinning
D016248	Computer Storage Devices	Datalagringsutrustning
D016249	Optical Storage Devices	Optisk lagring
D016250	Compact Disks	CD
D016251	CD-ROM	CD-rom
D016252	Microscopy, Scanning Tunneling	
D016253	Microscopy, Immunoelectron	Immunelektronmikroskopi
D016254	Mutagenesis, Insertional	Kassettmutagenes
D016255	Anistreplase	Anistreplas
D016256	Antigens, CD15	CD15-antigener
D016257	Fura-2	Fura-2
D016258	Genes, mos	mos-gener
D016259	Genes, myc	myc-gener
D016260	Monocytes, Activated Killer	Mördarmonocyter, aktiverade
D016262	Postpoliomyelitis Syndrome	Postpoliosyndrom
D016263	AIDS-Associated Nephropathy	AIDS-associerad nefropati
D016264	Dextran Sulfate	Dextransulfat
D016265	Conflict of Interest	Intressekonflikt
D016266	Food Parasitology	Livsmedelsparasitologi
D016267	External Fixators	Externa fixatorer
D016268	Internal Fixators	Inre fixturer
D016269	Milk Hypersensitivity	Mjölköverkänslighet
D016270	United States Agency for Healthcare Research and Quality	
D016271	Proto-Oncogene Proteins c-myc	Protonkogenproteiner c-myc
D016272	Occupational Health	Arbetarskydd
D016273	Occupational Exposure	Yrkesmässig exponering
D016274	Oncogene Protein p55(v-myc)	Onkogenprotein p55(v-myc)
D016275	Atrial Function	Förmaksfunktion
D016276	Ventricular Function	Hjärtkammarfunktion
D016277	Ventricular Function, Left	Hjärtkammarfunktion, vänster
D016278	Ventricular Function, Right	Hjärtkammarfunktion, höger
D016279	Atrial Function, Left	Förmaksfunktion, vänster
D016280	Atrial Function, Right	Förmaksfunktion, höger
D016281	Oncogene Protein gp140(v-fms)	Onkogenprotein gp140(v-fms)
D016282	Aspartic Endopeptidases	Asparaginendopeptidaser
D016283	Proto-Oncogene Proteins p21(ras)	Protonkogenproteiner p21(ras)
D016284	Technetium Tc 99m Pentetate	Teknetium Tc 99m-pentetat
D016285	Iloprost	Iloprost
D016287	Computer Peripherals	Datorkringutrustning
D016288	Computer Terminals	Dataterminaler
D016291	Dizocilpine Maleate	Dizocilpinmaleat
D016292	Conscious Sedation	Sedering
D016293	Moricizine	Moricizin
D016294	Models, Nursing	Omvårdnadsmodeller
D016296	Mutagenesis	Mutagenes
D016297	Mutagenesis, Site-Directed	Mutagenes, riktad
D016298	Hematopoietic Cell Growth Factors	Hematopoetiska tillväxtfaktorer
D016299	Dental Implantation, Subperiosteal	Dentalimplantation, subperiosteal
D016300	Radiography, Bitewing	Radiografi, bitewing
D016301	Alveolar Bone Loss	Alveolarresorption
D016302	Centric Relation	Centrisk relation
D016303	Clinical Pharmacy Information Systems	Informationssystem för klinisk farmaci
D016304	Hospitals, Private	Privatsjukhus
D016305	Thymopentin	Tymopentin
D016306	Vena Cava Filters	Vena cava-filter
D016308	Enkephalin, Leucine-2-Alanine	Enkefalin, leucin-2-alanin
D016311	Outliers, DRG	DRG-outliers
D016312	Treatment Refusal	Behandlingsvägran
D016313	Genes, abl	abl-gener
D016314	Ethylketocyclazocine	Etylketocyklazocin
D016315	Proto-Oncogene Proteins c-abl	Protonkogenproteiner c-abl
D016316	Guanfacine	Guanfacin
D016318	Quisqualic Acid	
D016319	Corrosion Casting	Korrosionsavgjutning
D016320	Substance Abuse Treatment Centers	Behandlingshem för missbrukare
D016321	Dental Care for Aged	Äldretandvård
D016322	HIV Enhancer	HIV-förstärkare
D016323	Dentition, Primary	Tanduppsättning, mjölktänder
D016324	Sequence Tagged Sites	
D016325	HIV Long Terminal Repeat	Långt repetitionsöverhäng, HIV
D016326	Extracellular Matrix Proteins	Extracellulära matrixproteiner
D016328	NF-kappa B	NF-kappa B
D016329	Sp1 Transcription Factor	Sp1-transkriptionsfaktor
D016330	Frail Elderly	Sköra äldre
D016331	Parenteral Nutrition, Home	Parenteral näring i hemmet
D016332	Fetal Tissue Transplantation	Fostervävnadstransplantation
D016333	HIV Protease	HIV-proteas
D016334	Genes, vpr	vpr-gener
D016335	Zinc Fingers	Zinkfingrar
D016336	Gene Products, vpr	Genprodukter, vpr
D016337	RNA, Catalytic	RNA, katalytiskt
D016338	Genes, vpu	vpu-gener
D016339	Spectrometry, Mass, Fast Atom Bombardment	
D016340	Gene Products, vpu	Genprodukter, vpu
D016341	Genes, vif	vif-gener
