Synonym	Mesh_UI
Kransborrar	D027522
Kranskärlsstenos	D023921
Kransörtsväxter	D035704
Krassar	D032387
Krassingar	D029686
Kratom	D032065
Kraurosis penis	D001446
Kraurosis vulvae	D007724
Kravaller	D012305
Kreatinfosfat	D010725
Krebscykel	D002952
Kremering	D009027
Kretinism	D003409
Krigskonster	D016139
Krimblödarfeber	D006479
Kriminalitet	D003415
Kriminalrätt	D003416
Kriminalvård	D011330
Krim-Kongoblödarfeber	D003225
Krisantaspas	D001215
Krisbehandling	D003419
Krisslor	D038143
Kristallografi, röntgen	D018360
Kritiska situationer	D004630
Krokodiler	D000489
Kroksabelsyndrom	D012587
Kromatografi, affinitet	D002846
Kromatografi, gas	D002849
Kromatografi, gel	D002850
Kromatografi, högtrycksvätska	D002851
Kromatografi, jonbyte	D002852
Kromatografi, papper	D002854
Kromatografi, SFC	D025924
Kromatografi, tunnskikt	D002855
Kromatografi, vätska	D002853
Kromofobt adenom	D000238
Kromoplaster	D018087
Kromosomaberrationer	D002869
Kromosomer, bakteriella	D002876
Kromosomer, human, par 7	D002897
Kromosomer, humana	D002877
Kromosomer, humana, 1-3	D002900
Kromosomer, humana, 13-15	D002901
Kromosomer, humana, 16-18	D002902
Kromosomer, humana, 19-20	D002903
Kromosomer, humana, 21-22	D002904
Kromosomer, humana, 4-5	D002905
Kromosomer, humana, 6-12	D002906
Kromosomer, humana, par 1	D002878
Kromosomer, humana, par 10	D002879
Kromosomer, humana, par 11	D002880
Kromosomer, humana, par 12	D002881
Kromosomer, humana, par 13	D002882
Kromosomer, humana, par 14	D002883
Kromosomer, humana, par 15	D002884
Kromosomer, humana, par 16	D002885
Kromosomer, humana, par 17	D002886
Kromosomer, humana, par 18	D002887
Kromosomer, humana, par 19	D002888
Kromosomer, humana, par 2	D002889
Kromosomer, humana, par 20	D002890
Kromosomer, humana, par 21	D002891
Kromosomer, humana, par 22	D002892
Kromosomer, humana, par 3	D002893
Kromosomer, humana, par 4	D002894
Kromosomer, humana, par 5	D002895
Kromosomer, humana, par 6	D002896
Kromosomer, humana, par 8	D002898
Kromosomer, humana, par 9	D002899
Kromosomer, svamp	D015825
Kromosomloci	D002874
Kromosomsönderbrytning	D019457
Kronisk hjärnskada	D001925
Kronisk lymfatisk leukemi	D015462
Kronisk monocytisk leukemi	D015476
Kronisk mukokutan kandidos	D002178
Kronisk myeloid leukemi	D015464
Kronisk myelomonocytleukemi	D015477
Kronisk neutrofilleukemi	D015467
Kronisk progressiv multipel skleros	D020528
Kronisk T-cellsleukemi	D015461
Kroniska hjärnskador	D020208
Kroniskt obstruktiva luftvägssjukdomar	D029424
Kroniskt trötthetssyndrom	D015673
Kronor	D003442
Kronärtskocka	D031943
Kroppens storlek	D001824
Kropp-och-själträning	D026441
Kroppsbalans	D004856
Kroppsbild	D001828
Kroppsfett	D000273
Kroppsfetter	D008055
Kroppshöljet	D034582
Kroppsidentifiering	D018732
Kroppskännedom	D001828
Kroppsmedvetande	D001828
Kroppssekret	D012634
Kroppsvätsketeori	D019364
Krusbär	D031965
Krusmynta	D031337
Kryddpeppar	D027841
Kryddsalvia	D027543
Kryokirurgi	D003452
Kryopreservation	D015925
Kryoprotektiva medel	D003451
Kryptomeria	D032485
Kräftor	D003400
Kräkningar, medel mot	D000932
Kräldjur	D012104
Krämberedningar	D004655
KTS	D015673
Kubmanater	D037462
Kugleberg-Welanders sjukdom	D014897
Kulturell evolution	D003468
Kulturell kroppsmodifiering	D046289
Kummel	D048388
Kummin	D029974
Kunskapsbaserad medicin	D019317
Kunskapstest	D004521
Kurorter	D006294
Kurortsbehandling	D001452
Kutan albinism	D016116
Kutan fistel	D017577
Kutan kandidos	D002179
Kutan lupus erythematosus	D008178
Kutan mastocytos	D034701
Kutan moniliasis	D002179
Kvalitetscirklar	D008332
Kvalitetsindikatorer	D019984
Kvalitetsråd	D011366
Kvalitetssäkring	D011785
Kvarhållen placenta	D018457
Kvinnliga tandläkare	D003816
Kvinnomisshandel	D018585
Kvinnosjukvård	D014932
K-vitamin	D014812
K-vitaminbrist	D014813
Kväveoxidgivare	D020030
Kväveoxidul	D009609
Kybernetik	D003491
Kylus	D002913
Kyndel	D031362
Kyrettage	D003475
Kytril	D017829
Kådor	D012116
Kådor, syntetiska	D012117
Kål	D001937
Kålmolke	D031108
Kålrot	D029688
Kåvepenin	D010404
Käkbensförankrad dentalimplantation	D003758
Käkcancer	D007573
Käkdeformiteter	D007569
Käke, partiellt tandlös	D007576
Käkhålecancer	D008444
Käkkirurgi	D013516
Käkortopedi	D009970
Källsprång	D045482
Känguruer	D007614
Känslostörningar	D019964
Kärlaktivator	D010959
Kärlcancer	D019043
Kärlekspapegojor	D046710
Kärlkirurgi	D014656
Kärlprotes	D001807
Kärlprotesimplantation	D019917
Kärlresistens	D014655
Kärlsjukdomar vid diabetes	D003925
Kärlvidgningsoperation	D017130
Kärlvävnadscancer	D009383
Kärnkraftsenergi	D009678
Kärnkraftsolyckor	D018788
Kärnmatrixproteiner	D034521
Kärnmembran	D009685
Kärnmjölk	D043302
Kärnspinnresonans, biomolekular	D019906
Kärnspinnsresonans	D009682
Köer	D014850
Köksavfall	D005735
Köldryssning	D023341
Köldskada	D005627
Köldterapi	D017679
Könlös förökning	D010312
Könsdiskriminering	D011287
Könsferomoner	D012724
Könskaraktärutveckling	D011627
Könsproportion	D012744
Könsroller	D005783
Könsskillnader	D012727
Könsstympning	D019093
Körtel- och epitelcancer	D009375
Körtel- och epiteltumörer	D009375
Laboratoriesmitta	D007757
Laboratorieteknik, klinisk	D019411
Labyrint	D007758
Labyrintit	D007762
Lagar	D007878
Lagerbär	D031641
Lagerväxter	D019770
Lagstiftning, apotek	D007885
Lagstiftning, hälso- och sjukvård	D007883
Lagstiftning, livsmedel	D007881
Lagstiftning, läkemedel	D007880
Lagstiftning, omvårdnad	D007884
Lagstiftning, sjukhus	D007882
Lagstiftning, tandvård	D007879
LAI-test	D007957
Laktacidos	D000140
Laktation	D007774
Laktationsstörningar	D007775
Laktosmalabsorption	D007787
Lamadjur	D002161
Lambert-Eatons syndrom	D015624
Landouzy-Dejerines syndrom	D020391
Landsbygdsbefolkning	D012424
Landsbygdssjukhus	D006780
Lanexat	D005442
Langerhans cell-histiocytos	D006646
Lanoxin	D004077
Lantanider	D028581
Lantanoider	D028581
Lantbrukarlunga	D005203
Lanvis	D013866
Laparoskopisk kolecystektomi	D017081
Laparotomi	D007813
Lapis	D012835
Lariam	D015767
Laryngeal tuberkulos	D014387
Laryngit	D007827
Laryngospasm	D007826
Larynx	D007830
Larynx, konstgjord	D007831
Larynxbrosk	D007817
Larynxcancer	D007822
Larynxförträngning	D007829
Larynxmuskler	D007821
Larynxsjukdomar	D007818
Larynxslemhinna	D007820
Larynxstenos	D007829
Larynxtumörer	D007822
Larynxödem	D007819
LASEK	D049008
Laserkniv	D007833
Lasermikroskopi	D018613
LASIK	D020731
Lasik	D020731
Lasix	D005665
Lateral humerus epikondylit	D013716
Lateral tromboflebit	D020227
Lateralitet	D007839
Latexgummi	D012408
Lathyrus-förgiftning	D007842
LATS	D008135
Laurence-Moon-Bardet-Biedls syndrom	D020788
Laurence-Moon-Biedls syndrom	D007849
LBNP	D008150
LD50	D007928
LDH	D007770
LDH	D045022
LDL-lipoproteiner	D008077
L-dopa	D007980
Lebers optikusatrofi	D029242
Leddeformiteter, förvärvade	D016916
Leddjurvektorer	D001179
Ledinspektion	D001182
Ledningshinder	D006327
Ledrörlighet	D016059
Ledum groenlandicum	D029794
Ledum palustre	D029794
Legitimation, läkare	D008007
Legitimation, sjuksköterska	D008008
Legitimation, tandläkare	D008005
Leguan	D007076
Leishmaniasis	D007896
Lekskolor	D002656
LEMS	D015624
Lens culinaris	D027806
Lentinus	D020074
LEOPARD-syndrom	D009456
Leponex	D003024
Lepra	D007918
Lepra lepromatosa	D015440
Lepra, borderline	D015439
Lepra, knölig	D015440
Lepra, tuberkuloid	D015441
Leprakolonier	D007914
Lesbianism	D018452
Letal utgång	D017809
Letalt mittlinjegranulom	D006103
Letterer-Siwes sjukdom	D006646
Leucinos	D008375
Leukemi	D007938
Leukemi, B-cell	D015448
Leukemi, B-cell, akut	D015450
Leukemi, B-cell, kronisk	D015451
Leukemi, CALLA-positiv	D015453
Leukemi, hårcell	D007943
Leukemi, icke-lymfatisk, akut	D015470
Leukemi, mastcell	D007946
Leukemi, myeloid, akut	D007948
Leukemi, myelomonocyt, kronisk	D015477
Leukemi, myelomonocyt,akut	D015479
Leukemi, neutrofil, kronisk	D015467
Leukemi, pre-B-cell	D015452
Leukemi, T-cell	D015458
Leukemi, T-cell, akut	D015459
Leukemi, T-cell, kronisk	D015461
Leukeran	D002699
Leukocyter	D007962
Leukocyter, basofila	D001491
Leukocyter, eosinofila	D004804
Leukocyter, neutrofila	D009504
Leukocytopeni	D007970
Leukocyträkning	D007958
Leukocytär kemotaxi	D002634
Leukodermi	D014820
Leukodystrofi, spongiform	D017825
Leukopoies	D019891
Leukorre	D007973
Leukos, aviärt	D001353
Leukosvirus, aviärt	D001354
Leukotrienantagonister	D020024
Leuprorelin	D016729
Leustatin	D017338
Levaxin	D013974
Levercancer	D008113
Levercancer, experimentell	D008114
Levercirros	D008103
Levercirros, alkoholbetingad	D008104
Leverfibros	D008103
Leverkoma	D006501
Levermossa	D035926
Leverskada, läkemedelsframkallad	D006523
Levnadsberättelser	D033262
Levnadsförhållanden	D012959
Levnadsstandard	D012959
Levomycetin	D002701
Levonova	D016912
Levotyroxin	D013974
Lewybodydemens	D020961
Lewykropp-demens	D020961
Lexinor	D009643
LGMD	D049288
LH-beta	D037101
LH-celler	D052681
LHRH	D007987
Libbstickor	D030003
Licens	D008004
Lidande	D013315
Ligatur	D008026
Liggsår	D003668
Liktornar	D002145
Lilja	D027762
Liljeväxter	D019668
Lillhjärnecancer	D002528
Limbus corneae	D016850
Limonoider	D036701
Limulus	D006737
Limulustest	D008033
LINAC	D016634
Linatil	D004656
Lindera benzoin	D027443
Lindrande behandling	D010166
Lindrig intellektuell funktionsnedsättning	D002658
Lindriga intellektuella funktionshinder	D002658
Lingon	D029801
Lingvistik	D008037
Linjär accelerator strålkirurgi	D016634
Linväxter	D019658
Lioresal	D001418
Liothyronin	D014284
Liotyronin	D014284
Lipanthyl	D011345
Lipidemulsioner, intravenösa	D005217
Lipider	D008055
Lipidmetabolismrubbningar	D052439
Lipoamiddehydrogenas	D008058
Lipoatrofisk diabetes	D003923
Lipodystrofisyndrom	D039682
Lipoidproteinos	D008065
Liposarkom, myxoid	D018208
Liposuktion	D015187
Lipothrixvirus	D023643
Lipotropin	D008083
Lipoxygenasinhibitorer	D016859
Liquor cerebrospinalis	D002555
Liriope muscari	D031424
Liriope spicatum	D031424
Lisator	D011727
litchi chinensis	D032125
Litotripsi	D008096
Litotripsi, laser	D017602
Livets uppkomst	D001678
Livmoderatoni	D014593
Livmodercancer	D014594
Livmoderhalscancer	D002583
Livmoderprolaps	D014596
Livmoderruptur	D014597
Livräddning	D012151
Livsberättelser	D033262
Livskriser	D008016
Livsmedelsallergi	D005512
Livsmedelsautomater	D005509
Livsmedelsdeklaration	D005515
Livsmedelsteknik	D005524
Livsuppehållande behandling	D008020
Livsvetenskap	D001690
Livsåskådningsfrågor	D010684
Ljudstyrkeperception	D008144
Ljusadaptation	D000221
Ljusbehandling	D010789
Ljusskygghet	D020795
Ljusstimulering	D010775
LKDH	D020773
LLLT	D028022
Loa loa	D008117
Lobulärt karcinom	D018275
Lobus occipitalis	D009778
Lobus parietalis	D010296
Locked-in-syndromet	D011782
Locus caeruleus	D008125
Lod-score	D008126
Lokala sjukhus	D006764
Lokalanestesi	D000772
Lokalanestetika	D000779
Lokalrecidiv, cancer	D009364
Lokalrecidiv, tumör	D009364
Lomir	D017275
Lomudal	D004205
Lon-proteas	D049070
Lopid	D015248
Lorfan	D007977
Losec	D009853
Lotusväxter	D031652
Louis-Bars syndrom	D001260
Lowes syndrom	D009800
LQTS	D008133
LRP	D051756
Lubrikation	D008153
Ludiomil	D008376
Luftfart	D001359
Luftstrupscancer	D014134
Luftvägscancer	D012142
Luftvägsobstruktion	D000402
Luftvägsresistens	D000403
Luktsinne	D012903
Lumbago	D017116
Lumbalkotor	D008159
Lumbalpunktion	D013129
Luminescens, fysisk	D049449
Lummer	D029542
Lundborg-Unverrichts syndrom	D020194
Lungalveoler	D011650
Lungcancer	D008175
Lung-compliance	D008170
Lunginflammation, lobär	D011018
Lungkapacitet	D008176
Lungkirurgi	D013510
Lungsjukdomar, mykotiska	D008172
Lungsjukdomar, parasitära	D008174
Lungsjukdomar, svamp	D008172
Lungsot	D014397
Lungsäckscancer	D010997
Lungvolymreducerande kirurgi	D011013
Lungört	D029685
Lupus erythematosus disseminata	D008180
Lupus erythematosus, systemic	D008180
Lupusantikoagulant	D016682
Lut	D002424
Luteiniserande hormon	D007986
Luteolys	D003341
Luxationer	D004204
LY96-protein	D051218
Lyells syndrom	D004816
Lyftanordningar	D017770
Lyftteknik	D017770
Lyme-borrelios	D008193
Lymfadenektomi	D008197
Lymfadenit	D008199
Lymfangiektasi	D008200
Lymfangiomyomatos	D018192
Lymfangit	D008205
Lymfatisk cysta	D008210
Lymfatisk filariasis	D004605
Lymfatisk leukemi	D007945
Lymfatisk leukemi, akut	D015447
Lymfatisk leukemi, akut, L1	D015454
Lymfatisk leukemi, akut, L2	D015455
Lymfatisk leukemi, kronisk	D015462
Lymfatiskt endotel	D004729
Lymfknutor	D008198
Lymfkörteldissektion	D008197
Lymfocytom	D019310
Lymfocyträkning	D018655
Lymfocytär koriomeningit	D008216
Lymfocytär, kolit	D046730
Lymfografi	D008220
Lymfoid tyreoidit	D013967
Lymfom, AIDS-relaterat	D016483
Lymfom, B-cell	D016393
Lymfom, non-Hodgkins	D008228
Lymfom, T-cell	D016399
Lymfom, T-cell, kutant	D016410
Lymfsystemet	D008208
Lymfvätska	D008196
Lymnea	D008195
Lypressin	D008236
Lysergsyradietylamid	D008238
Lysofosfatidsyrareceptorer	D049368
Lytechnius	D047331
Låg hjärtminutvolym	D002303
Lågmalignt lymfom	D016397
Lågmolekylär kininogen	D019728
Lågmolekylärt heparin	D006495
Lågviktiga nyfödda	D007230
Långa tandhalsar	D005889
Långsam hjärtverksamhet	D001919
Långsynthet	D006956
Långt QT-syndrom 1	D029597
Långt QT-syndrom 7	D050030
Långtidssjukvård	D008134
Långverkande insulin	D049528
Långverkande preparat	D003692
Långvård	D008134
Lårbensbrott	D005264
Lårbenscancer	D005266
Lårbenshalsbrott	D005265
Lårbensnervsjukdomar	D020428
Läckage av cerebrospinalvätska til näsa	D002559
Läckage av cerebrospinalvätska till öra	D002558
Lägerliv	D002165
Läkarbesök	D012017
Läkare med utländsk utbildning	D005550
Läkare utan gränser	D008493
Läkare, kvinnliga	D010822
Läkaretik	D004992
Läkarföreningar	D012955
Läkarundersökningar	D010808
Läkekonst	D008511
Läkemedel	D004364
Läkemedel, essentiella	D018954
Läkemedel, receptfria	D004366
Läkemedelsabstinens	D013375
Läkemedelsadministration, buckal	D000278
Läkemedelsadministration, inhalation	D000280
Läkemedelsadministration, intranasal	D000281
Läkemedelsadministration, intravaginal	D000282
Läkemedelsadministration, intravesikal	D000283
Läkemedelsadministration, kutan	D000279
Läkemedelsadministration, lokal	D000287
Läkemedelsadministration, oral	D000284
Läkemedelsadministration, peroral	D000284
Läkemedelsadministration, rektal	D000285
Läkemedelsadministration, sublingual	D000286
Läkemedelsadministrationsschema	D004334
Läkemedelsadministrationssätt	D004333
Läkemedelsallergi	D004342
Läkemedelsantagonism	D004336
Läkemedelsbehandling	D004358
Läkemedelsbehandling, kombinerad	D004359
Läkemedelsbehandling, understödjande	D017024
Läkemedelsberoende	D019966
Läkemedelsepidemiologi	D017891
Läkemedelsframkallade missbildningar	D000014
Läkemedelsförsörjning	D004363
Läkemedelsförteckningar	D005569
Läkemedelsgenomgång	D017723
Läkemedelsindragning	D004335
Läkemedelsinducerad huvudvärk	D020773
Läkemedelskonsumtion	D004363
Läkemedelskontaminering	D004340
Läkemedelsmissbruk	D019966
Läkemedelsprövning, preklinisk	D004353
Läkemedelsresistens, cancer	D019008
Läkemedelsresistent tuberkulos	D018088
Läkemedelsstabilitet	D004355
Läkemedelssynergi	D004357
Läkemedelssynergism	D004357
Läkemedelstillförsel, buckal	D000278
Läkemedelstillförsel, inhalation	D000280
Läkemedelstillförsel, intranasal	D000281
Läkemedelstillförsel, intravaginal	D000282
Läkemedelstillförsel, intravesikal	D000283
Läkemedelstillförsel, kutan	D000279
Läkemedelstillförsel, oral	D000284
Läkemedelstillförsel, perkutan	D000279
Läkemedelstillförsel, peroral	D000284
Läkemedelstillförsel, rektal	D000285
Läkemedelstillförsel, sublingual	D000286
Läkemedelstillförsel, transdermal	D000279
Länsdelssjukhus	D006767
Läppcancer	D008048
Läppherpes	D006560
Läppiercing	D046288
Lärk	D028221
Läromedel	D013664
Lögnaktighet	D008192
Lögndetektor	D008014
Löksläktet	D000490
Löpmage	D000018
Löständer	D003824
Macadamianötter	D039106
Machiavellism	D008257
MacLeods syndrom	D019568
Macula lutea	D008266
Maduromykos	D008271
Magcancer	D013274
Magdilatation	D013271
Magentafärger	D012394
Maghämmande peptid	D005749
Magnecyl	D001241
Magnetisk resonanskolangiopankreatografi	D049448
Magnetkamera	D008279
Magnetresonanstomografi	D008279
Magnettomografi	D008279
Magnevist	D019786
Magsjuka	D005759
Magsjukdomar	D013272
Magsmärta	D015746
Magsäckscancer	D013274
Magsäcksinflammation	D005756
Mag-tarmcancer	D005770
Mag-tarminflammation	D005759
Mag-tarmkanal	D041981
Mahaim-typ preexcitation	D011227
Mahonia	D028143
Maids	D016183
Majs	D003313
Makrobiotisk kost	D015623
Makrocytär anemi	D000748
Makroglobulinemi	D008258
Makrosomi, fetal	D005320
Malaria, Falciparum	D016778
Malaria, hemolytisk	D001742
Malaria, medel mot	D000962
Malaria, vivax	D016780
Malign lentigo	D018327
Malignt lymfogranulom	D006689
Malignt lymfom	D008223
Malignt melanom	D008545
Mall	D007915
Malocklusion	D008310
Maltafeber	D002006
Malörtsambrosia	D031164
Mammaledighet	D016524
Mammarplastik	D016462
Mammoplastik	D016462
Mancinellaträdet	D031285
Mandaringran	D032486
Mandibel	D008334
Mandibularcancer	D008339
Mandibularfrakturer	D008337
Mandibularnerv	D008340
Mandibularprotes	D008341
Mandibularprotesimplantation	D019930
Mandibularsjukdomar	D008336
Mandibularskador	D008338
Mandibulartumörer	D008339
Mandibulär viloposition	D014716
Mandrill	D048528
Mango	D031022
Mangroveväxter	D032407
Manguster	D008988
Manier	D001714
Maniok	D002365
Manipulation, psykologisk	D008257
Manipulationer, muskuloskeletala	D026201
Manipulationsterapier	D026201
Manliga sjuksköterskor	D009727
Manligt klimakterium	D047649
Mannosbindande protein	D037601
Mannosidos	D008363
Mannosidos	D044904
Manodepressiv psykos	D001714
Manometri	D008365
Manschetter	D014111
Mansonella	D008366
Manteldjur	D014561
Mantouxs prov	D014374
Manuella terapier	D026201
MAO	D008995
MAO-hämmare	D008996
MAO-inhibitorer	D008996
MAPK	D020928
Maranta	D032426
Marasmus	D011502
Marboran	D008720
Marcain	D002045
Mareks sjukdomsliknande virus	D025922
Marihuanamissbruk	D002189
Marihuanarökning	D008385
Marijuana	D002188
Marijuanamissbruk	D002189
Marijuanarökning	D008385
Marina toxiner	D008387
Mark	D012987
Markförorenande medel	D012989
Markförorenande ämnen, radioaktiva	D012990
Maroteaux-Lamys syndrom	D009087
MAS	D009722
Masker	D008397
Maskgenom	D049751
Maskros	D031205
Masspektralanalys	D013058
Mastektomi, partiell	D015412
Mastikation	D008409
Mastit	D008413
Mastocytom, malign	D012515
Matdistribution	D005522
Materialprov	D008422
Maternell PKU	D017042
Matlust	D001066
Matning	D005248
Matrix, extracellulär	D005109
Matservering	D005522
Matsmältningssystemets cancer	D004067
Matspjälknings-, oral- och hudfysiologi	D004069
Matspjälkningssystem, kirurgiska tekniker	D013505
Matspjälkningssystemet	D004064
Matspjälkningssystemets cancer	D004067
Matspjälkningssystemets fistel	D016154
Matspjälkningssystemets sjukdomar	D004066
Matspjälkningssystemets tumörer	D004067
Matstrupens nedre ringmuskel	D049630
Matstrupscancer	D004938
Mattram	D020903
Maxill	D008437
Maxillarartär	D008438
Maxillarcancer	D008441
Maxillarfrakturer	D008440
Maxillarnerv	D008442
Maxillarsinuit	D015523
Maxillarsinus	D008443
Maxillarsinuscancer	D008444
Maxillarsinustumörer	D008444
Maxillarsjukdomar	D008439
Maxillartumörer	D008441
Maxillofacial protes	D008447
Maxillofacial protesimplantation	D019931
Maxillofacial utveckling	D008445
Maxillofaciala missbildningar	D019767
Maxillofaciala skador	D008446
Maximal sannolikhet	D016013
Maximalt exspirationsflöde	D008448
Maximalt exspirationsflöde-volymkurvor	D008449
May-Whites syndrom	D020191
MBD/DAMP	D001289
MCPA	D008456
MCTD	D008947
MDA	D015104
MDS	D009190
Mecillinam	D000560
Medbestämmande	D003254
Medbrottslighet	D028661
Meddelandeplikt	D017007
Medel mot rundmask	D000969
Medelstilldelning	D003361
Medfödd hyperinsulinism	D044903
Medfödda ataxier	D013132
Medfött immunförsvar	D007113
Mediannervsjukdomar	D020423
Medianusnerv	D008475
Mediastinal cancer	D008479
Medicin, arabisk	D008514
Medicin, Ayurvedisk	D008515
Medicin, Hindu	D008515
Medicineringsmisstag	D008508
Medicinsk blodigel	D047709
Medicinsk elektronik	D004582
Medicinsk fakultet	D005180
Medicinsk filosofi	D010686
Medicinsk historia	D006666
Medicinsk psykologi	D011591
Medicinsk sociologi	D012962
Medicinsk teknik	D013677
Medicinsk utbildning	D004501
Medicinska manuskript	D008374
Medicinskt avfall	D008506
Medrol	D008775
Medskyldighet	D028661
Medulla oblongata	D008526
Medulla spinalis	D013116
Medullärt karcinom	D018276
Medvetandesänkning	D003244
Mefoxitin	D002440
Megace	D019290
Megakaryocytleukemi	D007947
Megakaryopoes	D034061
Megakolon, medfödd	D006627
Megaloglossi	D008260
Megavitaminterapi	D009974
Meglumindiatrizoat	D003974
Meibomian cysta	D017043
Meissners plexus	D013368
Mejram	D031341
Mekanisk ikterus	D041781
Mekonium	D008470
Mekoniumaspiration	D008471
Melankoli	D003866
Melanoameloblastom	D017600
Melanocytstimulerande hormoner	D009074
Melena	D008551
Melengestrol	D008552
Melissa officinalis	D031334
Mellannjure	D008650
Mellanöreinflammation, varbildande	D010035
Membrana tectoria	D013680
Membranoproliferativ glomerulonefrit	D015432
Membransyrsättning, extrakorporeal	D015199
Membranös glomerulonefrit	D015433
Menieres syndrom	D008575
Meningeal cancer	D008577
Meningeala tumörer	D008577
Meningealartärer	D008576
Meninger	D008578
Meningismus	D008580
Meningit	D008581
Meningit, aseptisk	D008582
Meningit, bakteriell	D016920
Meningit, Hemophilus	D008583
Meningit, kryptokock	D016919
Meningit, Listeria	D008584
Meningit, meningokock	D008585
Meningit, pneumokock	D008586
Meningit, svamp	D016921
Meningit, viral	D008587
Meningocele	D008588
Menisker, laterala	D008592
Menisker, mediala	D008592
Menkes syndrom	D007706
Menopaus, prematur	D008594
Menopur	D008596
Menorragi	D008595
Mens	D008598
Mensstörningar	D008599
Menstruationstamponger	D052576
Mensvärk	D004412
Mental hälsa	D008603
Mental trötthet	D005222
Mental utmattning	D005222
Mentala processer	D008606
Mentala störningar	D001523
Mentala störningar diagnostiserade i barndomen	D019952
Mentalvård	D008605
Merkaptopropionylglycin	D008625
Merozoitytantigen 1	D020066
Mesalazin	D019804
Mesangium glomeruli	D005920
Mesasal	D019804
Mesencefalon	D008636
Mesenterial pannikulit	D015436
Mesenterialartär, undre	D017537
Mesenterialartär, övre	D017538
Mesenterialartärer	D008638
Mesenterialcysta	D008639
Mesenterialvener	D008642
Mesenterium	D008643
Mesonefros	D008650
Mesotelcancer	D018301
Mesotelial cancer	D018301
Mestinon	D011729
Metabol detoxifiering, läkemedel	D008658
Metabola hjärnsjukdomar	D001928
Metabola hjärnsjukdomar, förvärvade	D020154
Metabola hjärnsjukdomar, medfödda	D020739
Metabola rubbningar, medfödda	D008661
Metabola sjukdomar	D008659
Metabola skelettsjukdomar	D001851
Metabolisk aktivering	D001711
Metacil	D008779
Metakarpus	D008663
Metakromatisk leukodystrofi	D007966
Metalloproteinaser	D008666
Metalloproteinashämmare 1	D019715
Metamucil	D011620
Metanobakterier	D019605
Metanol	D000432
Metansyreestrar	D005563
Metaplex	D020366
Metatalamus	D005829
Metatarsus	D008684
Meteorer	D019110
Meteoriter	D019110
Methergin	D008755
Methoxatin	D045542
Metoniumföreningar	D008725
Metopiron	D008797
Metrorragi	D008796
Metyldifenylhydramin	D009966
Metylergometrin	D008755
Metyltioninklorid	D008751
Mexitil	D008801
MHC	D008285
Micanol	D000875
Microcid	D005949
Microspora	D016814
Microtinae	D003411
Midamor	D000584
Mifegyne	D015735
Migrän	D008881
Migränaura	D020325
Mikronutriens	D018977
Mikroorganismer, räkning	D015169
Mikroskopi, akustisk	D033401
Mikroskopi, atomkraft	D018625
Mikroskopi, elektron	D008854
Mikroskopi, faskontrast	D008858
Mikroskopi, fluorescens	D008856
Mikroskopi, immunelektron	D016253
Mikroskopi, interferens	D008857
Mikroskopi, konfokal	D018613
Mikroskopi, polarisation	D008859
Mikroskopi, svepelektron	D008855
Mikroskopi, ultraviolett	D008860
Mikroskopi, video	D018715
Mikroskopisk kolit	D046728
Mikrosomer, lever	D008862
Mikrosporainfektioner	D016881
Mikrosporidium	D021861
Mikrovilli	D008871
Miktionsbesvär	D014555
Militärhygien	D008886
Militärmedicin	D008887
Militäromvårdnad	D008888
Militärpersonal	D008889
Militärpsykiatri	D008890
Militärtandvård	D008885
Miliär tuberkulos	D014391
Miljödesign	D004779
Miljöfarliga ämnen och bekämpningsmedel	D004786
Miljögifter	D015386
Miljöremediering	D052918
Mindiab	D005913
Mindre panda	D053822
Mineralkällor	D045482
Mineralull	D019016
Minigrisar	D013556
Minimal brain dysfunction	D001289
Minimal inhibitorisk koncentration	D008826
Minimalinvasiv kirurgi	D019060
Minirin	D003894
Minnesafasi	D000849
Minnesförträngning	D012094
Minnesota Multiphasic Personality Inventory	D008950
Minoriteter	D008913
Minskad tyngdkraft	D018472
Mint	D027541
Miochol	D000109
Mios	D015877
Miostat	D002217
Miotika	D008916
Miracil D	D008154
Mirakelbär	D032133
Mirar	D029591
miRNA	D035683
Missanpassade ungdomar	D007604
Missbrukande läkare	D010815
Missbrukande yrkesmän	D011363
Missbruksanalys	D015813
Misshandel	D014754
Misshandel i äktenskap	D013179
Mistel	D028184
Mistelväxter	D028163
Mistelväxter	D028183
Mitokondriegener	D050259
Mitokondriella muskelsjukdomar	D017240
Mitokondriellt DNA	D004272
Mitokondrier, hjärta	D008929
Mitokondrier, lever	D008930
Mitokondrier, muskel	D008931
Mitomycin C	D016685
Mitralklaffstenos	D008946
Mitramycin	D008926
Mjuk laserterapi	D028022
Mjuka fästingar	D026862
Mjukdelscancer	D012983
Mjukgörande medel	D004643
Mjäll	D012536
Mjältcancer	D013160
Mjältruptur	D013161
Mjöldrygealkaloider	D004876
Mjöldrygesjuka	D004881
Mjölkallergi	D016269
Mjölkfeber hos djur	D010319
Mjölkintolerans	D016269
Mjölkprodukter	D003611
MK-135	D002792
MK-208	D015738
MK-217	D019386
MK-639	D019469
MK-954	D019808
MMP	D020782
MMP-9	D020780
MMR-vaccin	D022542
MMSE	D008609
MM-virus	D004686
Mobbning	D012919
Modeller	D008348
Modeller, kardiovaskulära	D008955
Modeller, omvårdnad	D016294
Modeller, undervisning	D017145
Modemat	D004033
Moderns hälsa	D008429
Moderns riskexponering	D018811
Modersmjölksersättning	D041943
MODY	D003924
